emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,127.0,128.0,127.0,127.0,127.0,112.0,127.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,128.0,127.0,127.0,126.0,113.0,128.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,113.0,128.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,113.0,128.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,128.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,128.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,129.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,129.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,129.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,129.0,-1.0,104.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,126.0,128.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,126.0,128.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,126.0,128.0,127.0,128.0,128.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,128.0,127.0,106.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,128.0,127.0,106.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,128.0,127.0,106.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,128.0,127.0,108.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,128.0,127.0,127.0,128.0,107.0,126.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,127.0,107.0,126.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,128.0,127.0,106.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,128.0,128.0,106.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,128.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,128.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,128.0,127.0,112.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,127.0,127.0,128.0,127.0,113.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,127.0,106.0,126.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,127.0,106.0,126.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,128.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,128.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,128.0,107.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,128.0,107.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,128.0,107.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,128.0,129.0,128.0,107.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,129.0,128.0,107.0,128.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,127.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,127.0,127.0,127.0,127.0,107.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,127.0,127.0,127.0,128.0,106.0,127.0,-1.0,105.0,-65.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,126.0,127.0,128.0,127.0,112.0,128.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,127.0,109.0,128.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,127.0,107.0,129.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,127.0,106.0,129.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,127.0,106.0,129.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
127.0,127.0,126.0,127.0,128.0,127.0,106.0,129.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
126.0,127.0,127.0,127.0,127.0,127.0,112.0,128.0,-1.0,105.0,-64.0,127.0,127.0,127.0,-5.0,-5.0,-104.0
