emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,125.0,128.0,125.0,126.0,126.0,112.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,125.0,128.0,124.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,124.0,128.0,124.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,124.0,128.0,124.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,124.0,128.0,124.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,124.0,128.0,124.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,125.0,128.0,126.0,126.0,126.0,112.0,128.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,124.0,128.0,125.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
126.0,124.0,128.0,124.0,126.0,126.0,111.0,127.0,37.0,-112.0,-60.0,127.0,127.0,127.0,118.0,89.0,-117.0
